Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Brisbane,1,1,1995,76.1
Australia/South Pacific,Australia,,Brisbane,1,2,1995,78.3
Australia/South Pacific,Australia,,Brisbane,1,3,1995,78.6
Australia/South Pacific,Australia,,Brisbane,1,4,1995,78.6
Australia/South Pacific,Australia,,Brisbane,1,5,1995,78.3
Australia/South Pacific,Australia,,Brisbane,1,6,1995,78.1
Australia/South Pacific,Australia,,Brisbane,1,7,1995,77.9
Australia/South Pacific,Australia,,Brisbane,1,8,1995,75.6
Australia/South Pacific,Australia,,Brisbane,1,9,1995,75.2
Australia/South Pacific,Australia,,Brisbane,1,10,1995,75.3
Australia/South Pacific,Australia,,Brisbane,1,11,1995,75.2
Australia/South Pacific,Australia,,Brisbane,1,12,1995,73.3
Australia/South Pacific,Australia,,Brisbane,1,13,1995,73.4
Australia/South Pacific,Australia,,Brisbane,1,14,1995,75.7
Australia/South Pacific,Australia,,Brisbane,1,15,1995,75.2
Australia/South Pacific,Australia,,Brisbane,1,16,1995,76.1
Australia/South Pacific,Australia,,Brisbane,1,17,1995,77.8
Australia/South Pacific,Australia,,Brisbane,1,18,1995,77.3
Australia/South Pacific,Australia,,Brisbane,1,19,1995,76
Australia/South Pacific,Australia,,Brisbane,1,20,1995,78.6
Australia/South Pacific,Australia,,Brisbane,1,21,1995,78.2
Australia/South Pacific,Australia,,Brisbane,1,22,1995,71.4
Australia/South Pacific,Australia,,Brisbane,1,23,1995,72.2
Australia/South Pacific,Australia,,Brisbane,1,24,1995,76.2
Australia/South Pacific,Australia,,Brisbane,1,25,1995,76.9
Australia/South Pacific,Australia,,Brisbane,1,26,1995,75
Australia/South Pacific,Australia,,Brisbane,1,27,1995,75.9
Australia/South Pacific,Australia,,Brisbane,1,28,1995,74.8
Australia/South Pacific,Australia,,Brisbane,1,29,1995,77.1
Australia/South Pacific,Australia,,Brisbane,1,30,1995,81.4
Australia/South Pacific,Australia,,Brisbane,1,31,1995,81.5
Australia/South Pacific,Australia,,Brisbane,2,1,1995,75.2
Australia/South Pacific,Australia,,Brisbane,2,2,1995,75.7
Australia/South Pacific,Australia,,Brisbane,2,3,1995,80.9
Australia/South Pacific,Australia,,Brisbane,2,4,1995,81.4
Australia/South Pacific,Australia,,Brisbane,2,5,1995,80.8
Australia/South Pacific,Australia,,Brisbane,2,6,1995,78.5
Australia/South Pacific,Australia,,Brisbane,2,7,1995,75.1
Australia/South Pacific,Australia,,Brisbane,2,8,1995,74.4
Australia/South Pacific,Australia,,Brisbane,2,9,1995,74.2
Australia/South Pacific,Australia,,Brisbane,2,10,1995,73.5
Australia/South Pacific,Australia,,Brisbane,2,11,1995,71.1
